name,n
Insecta,39059
Destroyed,14164
Halictus ligatus/poeyi,10496
Agapostemon angelicus/texanus,7973
Ceratina dupla/mikmaqi,4185
Lasioglossum lepidii/puteulanum,3247
Hylaeus affinis/modestus,3060
Lasioglossum admirandum?,2421
Andrena imitatrix/morrisonella,1953
Nomada bidentate_group,1670
Lasioglossum viridatum_group,1514
Ceratina calcarata/dupla/mikmaqi,1432
Lasioglossum species_A,1076
Andrena (Trachandrena)_species,681
Lasioglossum admirandum/versatum,601
Lasioglossum affiliated_with_punctatoventre,484
Augochloropsis metallica/fulgida,400
No_Bees_Found,379
Nonbee,363
Augochlorella  aurata,291
Nomada illinoensis/sayi,260
Unknown,222
Osmia atriventris/pumila,210
Nomada white_setae_group,204
Evylaeus 1washev,192
Podalonia cf_luctuosa,167
Heriades leavitti/variolosa,163
destroyed,141
Ceratina near_dentipes,137
Lasioglossum cf_arcanum,121
Lasioglossum prasinogaster/sedi,120
Nomada dreisbachi?,120
Lasioglossum cf_perichlarus,117
Osmia collinsiae?,117
Aporinellus completus/medianus,113
Lasioglossum puteulanum?,111
Lasioglossum species_stcr1,106
Anthomyiidae BADL1,98
Lasioglossum leucocomus/pilosum,93
Epicauta BADL1,92
Lasioglossum near_ruidosense,92
Andrena (Trachandrena),88
Sphecodes atlantis/cressonii,84
Ceratina near_floridana,82
Lasioglossum tegulare?,81
Lasioglossum az_undescribed_ytegula,80
Lasioglossum cf_brunneiventre,80
Perdita hirticeps_apicata,80
Polistes poeyi_poeyi,79
Lasioglossum cf_cooleyi,78
Bombus sandersoni/vagans,75
Augochlora  pura,74
Lasioglossum pilosum/leucocomus,73
Bombus fervidus/pensylvanicus,66
Ceropales maculata_fraterna,62
Lasioglossum ellisiae/tegulare,62
Hylaeus modestus_citrinifrons,59
Destroy,58
Chrysura kyrae/pacifica,56
Lasioglossum 5Wy,56
Aporinellus cf_medianus,53
Osmia cornifrons/taurus,53
Bembix americana_spinolae,51
Melissodes agilis/trinodis,51
Hylaeus ornatus_black,49
Lasioglossum oblongum?,49
Nomada perplexa?,49
Hylaeus species_A,48
Lasioglossum cf_longicorne,48
Nomada pygmaea_group,47
Augochlorella gratiosa?,46
Lasioglossum 20wy_evylaeus,46
Epicauta BADL100,45
Nomada bella?,45
Lasioglossum cal_marin_undescribed,44
Lasioglossum species_E,44
Osmia inurbana/trevoris,42
Hedychrum confusum/violaceum,40
Lasioglossum affiliated_with_macroprosopum,40
Lasioglossum 18_Cal,39
Colletes fulgidus_fulgidus,38
Lasioglossum morpho6,38
Lasioglossum versatum?,37
Lasioglossum 1WYEV,34
Lasioglossum 2cal,34
Lasioglossum 1EV,33
Lasioglossum affiliated_with_ruidosense,33
Lasioglossum hitchensi/weemsi,33
Osmia montana_montana,33
Sphecodes atlantis?,33
Lasioglossum 14col,32
Lasioglossum 38LAS,32
Lasioglossum puteulanum/tegulare,32
Andrena Logan_species_4,31
Anoplius subcylindricus/percitus,31
Epicauta BADL102,31
Lasioglossum 3wyut,31
Bombyliidae BADL101,30
Lasioglossum cf_boreale,30
Lasioglossum cf_boreale/dasiphorae,30
Stenodynerus ammonia_paraensis,30
Lasioglossum tegulare_group,29
Lasioglossum 25WY,27
Lasioglossum cf_ruidosense,27
Bombus near_sandersoni,26
Lasioglossum 50LAS,25
Ammosphex angularis/anomalus,24
Lasioglossum 30LAS,24
Lasioglossum 5WyEv,24
Lasioglossum cf_cordleyi,24
Nomada cuneata?,24
Lasioglossum 10UT,23
Lasioglossum 8UT,23
Bombyliidae BADL102,22
Lasioglossum 3EV,21
Tachytes BADL10,21
Hoplitis fulgida_fulgida,20
Lasioglossum 18col,20
Lasioglossum cf_nevadense,20
Tabanus vittiger_guatemalanus,20
Andrena Logan_species_2,19
Ceratina calcarata/mikmaqi,19
Hylaeus illinoisensis?,19
Lasioglossum 24cal,19
Lasioglossum Logan_UT_variant_albohirtum,19
Lasioglossum morpho3,19
Lasioglossum near_floridanum,19
Perdita BADL1,19
Andrena (Melandrena)_species,18
Cerceris echo/rufinoda,18
Eucera frater_lata,18
Ichneumonidae,18
Lasioglossum 9UT,18
Lasioglossum apocyni/fattigi,18
Lasioglossum near_punctatoventre,18
Sphaerophoria BADL1,18
Sphecodes sphwy2,18
Eucera frater_frater,17
Lasioglossum 14cal,17
Lasioglossum 1UT,17
Lasioglossum affiliated_with_hyalinum,17
Miscophus slossonae_slossonae,17
Augochlorella  persimilis,16
Lasioglossum 15cal_evylaeus,16
Lasioglossum 44LAS,16
Lasioglossum cf_occultum,16
Mordellidae BADL100,16
Nomada ceanothi?,16
Nomada dentariae?,16
Sphecodes sphwy1,16
Lasioglossum 11UT,15
Lasioglossum 17wy,15
Lasioglossum 31UT,15
Lasioglossum 4H,15
Lasioglossum cf_tegulariforme,15
Melissodes illatus/subillatus,15
Osmia nifoata?,15
Andrena Logan_species_17,14
Diptera BADL112,14
Epicauta BADL2,14
Episyron conterminus_ cressoni,14
Lasioglossum 28LAS,14
Lasioglossum morph8,14
Lasioglossum species_evylaeus,14
Melissodes boltoniae?,14
Osmia near_obliqua,14
Polistes dorsalis_dorsalis,14
Anoplius lepidus_atramentarius,13
Belomicrus cf_eriogoni,13
Diodontus cf. boharti,13
Lasioglossum 2 WYEV,13
Lasioglossum abanci?,13
Lasioglossum species_F,13
Lasioglossum species_G,13
Liris panamensis_muesebecki,13
Megachile affiliated_flavipes,13
Melissodes comptoides?,13
Nomada cressonii_group,13
Nomada pygmaea?,13
Panurginus species1,13
Perdita cf_zonalis,13
Podalonia cf_atriceps,13
Sarcophagidae BADL4,13
Augochlora pura_moseri,12
Cerceris cf_acanthophila,12
Dipogon papago_anomalus,12
Diptera,12
Hylaeus verticalis?,12
Lasioglossum 32UT,12
Lasioglossum 3BWY,12
Lasioglossum affiliated_with_hudsoniellum,12
Megachile cf_rotundata,12
Perdita per2,12
Tachysphex tarsatus_or_williamsi,12
Tachytes chrysopyga_obscurus,12
Andrena near_illinoiensis,11
Bombus sylvicola/bifarius,11
Chrysis nitidula/coerulans,11
Lasioglossum 2E,11
Lasioglossum 33UT,11
Lasioglossum 34CAL,11
Lasioglossum 36LAS,11
Lasioglossum 6Wy,11
Lasioglossum cf_mellipes,11
Lasioglossum near_nevadense,11
Lasioglossum planatum?,11
Myzinum BADL100,11
Paragus BADL1,11
Solierella cf_peckhami,11
Tachytes BADL103,11
Andrena Logan_species_11,10
Curculionidae BADL100,10
Euodynerus hidalgo_boreoorientalis,10
Evylaeus 17ut,10
Evylaeus 5colev,10
Lasioglossum 15col,10
Lasioglossum 15wy,10
Lasioglossum 1COL,10
Lasioglossum 1WY,10
Lasioglossum 46UT,10
Lasioglossum near_cressonii,10
Lasioglossum near_sagax,10
Polistes major_major,10
Sarcophagidae BADL7,10
Andrena Logan_species_9,9
Andrena carolina/thaspii,9
Anoplius cf_marginatus,9
Aporinellus taeniolatus/wheeleri,9
Bombus Impatiens,9
Ceratina Dupla,9
Chrysomelidae BADL1,9
Colletes CAL1,9
Dianthidium parvum_parvum,9
Diptera BADL118,9
Heterocera BADL102,9
Lasioglossum 13WYEV,9
Lasioglossum 21EV,9
Lasioglossum 28las,9
Lasioglossum 3 NEV WY,9
Lasioglossum 46LAS,9
Lasioglossum callidum/trigeminum,9
Lasioglossum cf_orthocarpi,9
Lasioglossum grte3,9
Lasioglossum laevissimum?,9
Lasioglossum near_foxii,9
Lasioglossum near_quebecense,9
Lasioglossum near_semicaeruleum,9
Lasioglossum versatum_group,9
Solierella inermis_group,9
Stenodynerus BADL14,9
Tachinidae BADL14,9
Tachytes BADL102,9
Ancistrocerus cf_catskill,8
Andrena Logan_species_10,8
Braconidae BADL100,8
Ceratina acantha/nanula,8
Ceratina calcarata/dupla,8
Chrysura cobaltina/pacifica,8
Crabro BADL11,8
Diadasia BADL100,8
Dianthidium curvatum/sayi,8
Empis BADL1,8
Evylaeus 7calev,8
Exoprosopa BADL1,8
Lasioglossum 2UT,8
Lasioglossum 2nev,8
Lasioglossum 5H,8
Lasioglossum 7d,8
Lasioglossum lazulis/sedi,8
Lasioglossum morpho5,8
Lasioglossum near_macroprosopum,8
Megachile brevis/pseudobrevis,8
Meloidae BADL100,8
Microlepidoptera BADL2,8
Nomada 1nom,8
Sarcophagidae BADL5,8
Scolia cf. fuciformis,8
Specimen_Number_Logged_by_Logan_Name_missing,8
Sphecodes BADL1,8
Acrididae species_larva,7
Andrena Logan_species_19,7
Andrena WY2,7
Andrena alleghaniensis/atlantica,7
Andrena miserabilis?,7
Coleoptera BADL106,7
Coleoptera BADL115,7
Colletes near_willistoni,7
Conopidae BADL7,7
Diptera BADL148,7
Exomalopsis species_A,7
Heteroptera BADL5,7
Hoplitis pilosifrons/producta,7
Lasioglossum 12wywash,7
Lasioglossum 16cal,7
Lasioglossum 20UT,7
Lasioglossum 2CALUT,7
Lasioglossum 2las,7
Lasioglossum 40LAS,7
Lasioglossum admirandum/trigeminum,7
Lasioglossum cf_cabrilli,7
Lasioglossum paradmirandum?,7
Lasioglossum species_1,7
Megachile species_A,7
Melissodes communis_alopex,7
Nomada composita?,7
Nomada sayi?,7
Nysson sp.n.,7
Oxybelus species_near_emarginatus,7
Parancistrocerus pedestris_pedestris,7
Philanthus BADL2,7
Plenoculus davisi_atlanticus,7
Sphecodes banksii?,7
Sphecodes sphwy5,7
Tachytes species_A,7
Ageniella cf_rufescens,6
Ammosphex cf_dakota,6
Andrena cf_salictaria,6
Andrena imitatrix?,6
Andrena near_bisalicis,6
Anoplius cf_insolens,6
Arachnospila cf_fumipennis_eureka,6
Bombus sandersoni/perplexus,6
Carpophilus BADL1,6
Cerceris BADL100,6
Cerceris cf. gnarina,6
Cixiidae BADL100,6
Coelioxys octodentatus/sayi,6
Coleoptera BADL109,6
Diptera BADL101,6
Epicauta BADL101,6
Eristalis near_obscurus,6
Eucera (Synhalonia),6
Euodynerus BADL1,6
Evylaeus 6colev,6
Evylaeus 9wyev,6
